,subgenre-interp-group
nh0001_a,costumbrista
nh0001_b,costumbrista
nh0001_c,costumbrista
nh0001_d,costumbrista
nh0001_e,costumbrista
nh0002_a,costumbrista
nh0002_b,costumbrista
nh0002_c,costumbrista
nh0002_d,costumbrista
nh0002_e,costumbrista
nh0003_a,costumbrista
nh0003_b,costumbrista
nh0003_c,costumbrista
nh0003_d,costumbrista
nh0003_e,costumbrista
nh0004_a,historical
nh0004_b,historical
nh0004_c,historical
nh0004_d,historical
nh0004_e,historical
nh0005_a,costumbrista
nh0005_b,costumbrista
nh0005_c,costumbrista
nh0005_d,costumbrista
nh0005_e,costumbrista
nh0006_a,sentimental
nh0006_b,sentimental
nh0006_c,sentimental
nh0006_d,sentimental
nh0006_e,sentimental
nh0007_a,historical
nh0007_b,historical
nh0007_c,historical
nh0007_d,historical
nh0007_e,historical
nh0008_a,costumbrista
nh0008_b,costumbrista
nh0008_c,costumbrista
nh0008_d,costumbrista
nh0008_e,costumbrista
nh0009_a,historical
nh0009_b,historical
nh0009_c,historical
nh0009_d,historical
nh0009_e,historical
nh0010_a,sociopolitical
nh0010_b,sociopolitical
nh0010_c,sociopolitical
nh0010_d,sociopolitical
nh0010_e,sociopolitical
nh0011_a,sociopolitical
nh0011_b,sociopolitical
nh0011_c,sociopolitical
nh0011_d,sociopolitical
nh0011_e,sociopolitical
nh0012_a,sociopolitical
nh0012_b,sociopolitical
nh0012_c,sociopolitical
nh0012_d,sociopolitical
nh0012_e,sociopolitical
nh0013_a,sociopolitical
nh0013_b,sociopolitical
nh0013_c,sociopolitical
nh0013_d,sociopolitical
nh0013_e,sociopolitical
nh0014_a,sentimental
nh0014_b,sentimental
nh0014_c,sentimental
nh0014_d,sentimental
nh0014_e,sentimental
nh0015_a,sentimental
nh0015_b,sentimental
nh0015_c,sentimental
nh0015_d,sentimental
nh0015_e,sentimental
nh0016_a,sociopolitical
nh0016_b,sociopolitical
nh0016_c,sociopolitical
nh0016_d,sociopolitical
nh0016_e,sociopolitical
nh0017_a,sentimental
nh0017_b,sentimental
nh0017_c,sentimental
nh0017_d,sentimental
nh0017_e,sentimental
nh0018_a,sociopolitical
nh0018_b,sociopolitical
nh0018_c,sociopolitical
nh0018_d,sociopolitical
nh0018_e,sociopolitical
nh0019_a,sentimental
nh0019_b,sentimental
nh0019_c,sentimental
nh0019_d,sentimental
nh0019_e,sentimental
nh0020_a,costumbrista
nh0020_b,costumbrista
nh0020_c,costumbrista
nh0020_d,costumbrista
nh0020_e,costumbrista
nh0022_a,historical
nh0022_b,historical
nh0022_c,historical
nh0022_d,historical
nh0022_e,historical
nh0023_a,sociopolitical
nh0023_b,sociopolitical
nh0023_c,sociopolitical
nh0023_d,sociopolitical
nh0023_e,sociopolitical
nh0054_a,historical
nh0054_b,historical
nh0054_c,historical
nh0054_d,historical
nh0054_e,historical
nh0055_a,historical
nh0055_b,historical
nh0055_c,historical
nh0055_d,historical
nh0055_e,historical
nh0056_a,historical
nh0056_b,historical
nh0056_c,historical
nh0056_d,historical
nh0056_e,historical
nh0091_a,historical
nh0091_b,historical
nh0091_c,historical
nh0091_d,historical
nh0091_e,historical
nh0096_a,sentimental
nh0096_b,sentimental
nh0096_c,sentimental
nh0096_d,sentimental
nh0096_e,sentimental
nh0102_a,sentimental
nh0102_b,sentimental
nh0102_c,sentimental
nh0102_d,sentimental
nh0102_e,sentimental
nh0219_a,sentimental
nh0219_b,sentimental
nh0219_c,sentimental
nh0219_d,sentimental
nh0219_e,sentimental
nh0220_a,sentimental
nh0220_b,sentimental
nh0220_c,sentimental
nh0220_d,sentimental
nh0220_e,sentimental
